,3way_1,3way_10,3way_14,3way_15,3way_19,3way_2,3way_21,3way_22,3way_23,3way_3,3way_5,3way_9,4way_11,4way_12,4way_13,4way_16,4way_17,4way_18,4way_6,4way_7,4way_8
0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0
60,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0
120,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0
180,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1
240,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
300,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1
360,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1
420,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0
480,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
540,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0
600,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
660,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1
720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
780,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1
840,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
900,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
960,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1020,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
1080,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1
1140,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1200,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0
1260,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
1320,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1380,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0
1440,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1
1500,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1
1560,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1620,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1
1680,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1
1740,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0
1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1
1860,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1
1920,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0
1980,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1
2040,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1
2100,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0
2160,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2220,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1
2280,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0
2340,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2400,0,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1
2460,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
2520,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1
2580,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2640,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
2700,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2760,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0
2820,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
2880,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0
2940,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1
3000,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0
3060,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1
3120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3180,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
3240,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1
3300,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
3360,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
3420,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3480,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
3540,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
