controller=pattern horizon=1 threshold=0.1
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s], calc time, effective time
0, 1, 3.17034e-02, 1.02139e+01, 0.00000e+00, 0.00000e+00, -7.20000e+01, 1.00000e+00, 2.62472e-03, 2.16007e-04, 2.16007e-04
1, 4, 1.26813e-01, 1.01782e+01, 2.18360e-01, 2.18360e-01, -7.20000e+01, 7.50000e-01, 1.10176e-02, 2.16007e-04, 2.16007e-04
2, 7, 2.21924e-01, 1.01490e+01, 2.72950e-01, 2.72950e-01, -7.20000e+01, 4.28571e-01, 2.35928e-02, 2.16007e-04, 2.16007e-04
3, 10, 3.17034e-01, 1.01247e+01, 2.84973e-01, 2.84973e-01, -7.20000e+01, 3.00000e-01, 3.73459e-02, 2.16007e-04, 2.16007e-04
4, 13, 4.12144e-01, 1.01131e+01, 4.48742e-01, 4.48742e-01, -7.20000e+01, 2.30769e-01, 5.02221e-02, 2.16007e-04, 2.16007e-04
5, 17, 5.38957e-01, 1.00842e+01, 6.67102e-01, 6.67102e-01, -7.20000e+01, 2.35294e-01, 7.60659e-02, 2.16007e-04, 2.16007e-04
6, 20, 6.34067e-01, 1.00749e+01, 9.94641e-01, 9.94641e-01, -7.20000e+01, 1.50000e-01, 9.76727e-02, 2.16007e-04, 2.16007e-04
7, 23, 7.29177e-01, 1.00705e+01, 1.15841e+00, 1.15841e+00, -7.20000e+01, 1.30435e-01, 1.20540e-01, 2.16007e-04, 2.16007e-04
8, 26, 8.24287e-01, 1.00684e+01, 1.21300e+00, 1.21300e+00, -7.20000e+01, 1.15385e-01, 1.40460e-01, 2.16007e-04, 2.16007e-04
9, 29, 9.19397e-01, 1.00633e+01, 1.32218e+00, 1.32218e+00, -7.20000e+01, 1.03448e-01, 1.32874e-01, 2.16007e-04, 2.16007e-04
10, 32, 1.01451e+00, 1.00596e+01, 1.59513e+00, 1.59513e+00, -7.20000e+01, 9.37500e-02, 1.23527e-01, 2.16007e-04, 2.16007e-04
11, 35, 1.10962e+00, 1.00515e+01, 1.64972e+00, 1.64972e+00, -7.20000e+01, 8.57143e-02, 1.42933e-01, 2.16007e-04, 2.16007e-04
12, 38, 1.20473e+00, 1.00368e+01, 1.97726e+00, 1.97726e+00, -7.20000e+01, 7.89474e-02, 1.66875e-01, 2.16007e-04, 2.16007e-04
13, 41, 1.29984e+00, 1.00279e+01, 2.14103e+00, 2.14103e+00, -7.20000e+01, 7.31707e-02, 1.51949e-01, 2.16007e-04, 2.16007e-04
14, 44, 1.39495e+00, 1.00196e+01, 2.08644e+00, 2.08644e+00, -7.20000e+01, 6.81818e-02, 1.69438e-01, 2.16007e-04, 2.16007e-04
15, 47, 1.49006e+00, 1.00018e+01, 2.08644e+00, 2.08644e+00, -7.20000e+01, 1.27660e-01, 1.90577e-01, 2.16007e-04, 2.16007e-04
16, 50, 1.58517e+00, 9.98630e+00, 2.90529e+00, 2.90529e+00, -7.20000e+01, 1.40000e-01, 1.53794e-01, 2.16007e-04, 2.16007e-04
17, 54, 1.71198e+00, 9.94259e+00, 3.34201e+00, 3.34201e+00, -7.20000e+01, 1.48148e-01, 1.49406e-01, 2.16007e-04, 2.16007e-04
18, 58, 1.83879e+00, 9.90687e+00, 3.56037e+00, 3.56037e+00, -7.20000e+01, 1.72414e-01, 1.60952e-01, 2.16007e-04, 2.16007e-04
19, 61, 1.93390e+00, 9.86299e+00, 3.66955e+00, 3.66955e+00, -7.20000e+01, 1.80328e-01, 1.66007e-01, 2.16007e-04, 2.16007e-04
20, 65, 2.06072e+00, 9.84784e+00, 3.61496e+00, 3.61496e+00, -7.20000e+01, 2.15385e-01, 1.86170e-01, 2.16007e-04, 2.16007e-04
21, 68, 2.15583e+00, 9.83317e+00, 3.72414e+00, 3.72414e+00, -7.20000e+01, 2.50000e-01, 2.13113e-01, 2.16007e-04, 2.16007e-04
22, 69, 2.18753e+00, 9.84957e+00, 4.58555e+00, 4.58555e+00, -7.20000e+01, 2.60870e-01, 1.91971e-01, 2.16007e-04, 2.16007e-04
23, 73, 2.31435e+00, 9.82863e+00, 4.74932e+00, 4.74932e+00, -7.20000e+01, 3.28767e-01, 2.28647e-01, 2.16007e-04, 2.16007e-04
24, 75, 2.37775e+00, 9.83143e+00, 5.02227e+00, 5.02227e+00, -7.20000e+01, 3.06667e-01, 2.18906e-01, 2.16007e-04, 2.16007e-04
25, 78, 2.47286e+00, 9.80682e+00, 4.47637e+00, 4.47637e+00, -7.20000e+01, 3.33333e-01, 2.01674e-01, 2.16007e-04, 2.16007e-04
26, 80, 2.53627e+00, 9.79989e+00, 4.47637e+00, 4.47637e+00, -7.20000e+01, 3.12500e-01, 2.46470e-01, 2.16007e-04, 2.16007e-04
27, 84, 2.66308e+00, 9.77225e+00, 4.36719e+00, 4.36719e+00, -7.20000e+01, 3.21429e-01, 2.38540e-01, 2.16007e-04, 2.16007e-04
28, 85, 2.69479e+00, 9.75872e+00, 4.53096e+00, 4.53096e+00, -7.20000e+01, 2.82353e-01, 2.36324e-01, 2.16007e-04, 2.16007e-04
29, 89, 2.82160e+00, 9.72821e+00, 5.24063e+00, 5.24063e+00, -7.20000e+01, 3.37079e-01, 2.48538e-01, 2.16007e-04, 2.16007e-04
