controller=local horizon=1 threshold=0.0
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s]
0, 1, 1.26626e-02, 1.01671e+01, 0.00000e+00, 0.00000e+00, -9.40000e+01, 1.00000e+00, 2.62472e-03
1, 5, 6.33132e-02, 1.01332e+01, 8.12834e-02, 8.12834e-02, -9.40000e+01, 8.00000e-01, 1.34483e-02
2, 9, 1.13964e-01, 1.01048e+01, 1.18855e-01, 1.18855e-01, -9.40000e+01, 4.44444e-01, 2.85075e-02
3, 14, 1.77277e-01, 1.00719e+01, 1.88526e-01, 1.88526e-01, -9.40000e+01, 3.57143e-01, 4.72104e-02
4, 18, 2.27928e-01, 1.00553e+01, 2.34974e-01, 2.34974e-01, -9.40000e+01, 2.22222e-01, 7.40860e-02
5, 22, 2.78578e-01, 1.00420e+01, 2.58198e-01, 2.58198e-01, -9.40000e+01, 1.81818e-01, 9.64995e-02
6, 27, 3.41891e-01, 1.00275e+01, 3.42127e-01, 3.42127e-01, -9.40000e+01, 1.85185e-01, 1.38360e-01
7, 31, 3.92542e-01, 1.00266e+01, 3.88575e-01, 3.88575e-01, -9.40000e+01, 1.29032e-01, 1.69602e-01
8, 34, 4.30530e-01, 1.00383e+01, 4.23411e-01, 4.23411e-01, -9.40000e+01, 8.82353e-02, 2.03647e-01
9, 39, 4.93843e-01, 1.00351e+01, 5.04694e-01, 5.04694e-01, -9.40000e+01, 1.28205e-01, 1.93393e-01
10, 43, 5.44493e-01, 1.00307e+01, 4.81470e-01, 4.81470e-01, -9.40000e+01, 9.30233e-02, 1.90320e-01
11, 47, 5.95144e-01, 1.00283e+01, 5.27918e-01, 5.27918e-01, -9.40000e+01, 8.51064e-02, 2.09282e-01
12, 52, 6.58457e-01, 1.00195e+01, 6.32425e-01, 6.32425e-01, -9.40000e+01, 9.61538e-02, 1.92307e-01
13, 57, 7.21770e-01, 1.00145e+01, 7.36933e-01, 7.36933e-01, -9.40000e+01, 8.77193e-02, 2.18274e-01
14, 61, 7.72421e-01, 1.00179e+01, 7.60156e-01, 7.60156e-01, -9.40000e+01, 6.55738e-02, 2.29061e-01
15, 65, 8.23072e-01, 1.00120e+01, 7.13709e-01, 7.13709e-01, -9.40000e+01, 6.15385e-02, 2.26952e-01
16, 70, 8.86385e-01, 1.00146e+01, 7.71768e-01, 7.71768e-01, -9.40000e+01, 7.14286e-02, 3.05867e-01
17, 74, 9.37035e-01, 1.00102e+01, 7.71768e-01, 7.71768e-01, -9.40000e+01, 5.40541e-02, 2.71806e-01
18, 79, 1.00035e+00, 9.98683e+00, 9.22723e-01, 9.22723e-01, -9.40000e+01, 6.32911e-02, 2.58255e-01
