controller=pattern horizon=1 threshold=0.1
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s], calc time, effective time
0, 1, 3.17034e-02, 1.02139e+01, 0.00000e+00, 0.00000e+00, -7.20000e+01, 1.00000e+00, 2.62472e-03, 1.97649e-04, 1.97649e-04
1, 3, 9.51101e-02, 1.01909e+01, 1.63770e-01, 1.63770e-01, -7.20000e+01, 6.66667e-01, 8.72039e-03, 1.97649e-04, 1.97649e-04
2, 5, 1.58517e-01, 1.01717e+01, 2.72950e-01, 2.72950e-01, -7.20000e+01, 4.00000e-01, 1.70356e-02, 1.97649e-04, 1.97649e-04
3, 7, 2.21924e-01, 1.01562e+01, 2.72950e-01, 2.72950e-01, -7.20000e+01, 2.85714e-01, 2.72941e-02, 1.97649e-04, 1.97649e-04
4, 9, 2.85330e-01, 1.01441e+01, 3.39562e-01, 3.39562e-01, -7.20000e+01, 2.22222e-01, 3.69833e-02, 1.97649e-04, 1.97649e-04
5, 12, 3.80440e-01, 1.01210e+01, 5.03332e-01, 5.03332e-01, -7.20000e+01, 2.50000e-01, 5.08167e-02, 1.97649e-04, 1.97649e-04
6, 14, 4.43847e-01, 1.01253e+01, 6.12512e-01, 6.12512e-01, -7.20000e+01, 1.42857e-01, 6.80619e-02, 1.97649e-04, 1.97649e-04
7, 16, 5.07254e-01, 1.01229e+01, 7.21692e-01, 7.21692e-01, -7.20000e+01, 1.25000e-01, 8.61937e-02, 1.97649e-04, 1.97649e-04
8, 18, 5.70660e-01, 1.01171e+01, 8.30872e-01, 8.30872e-01, -7.20000e+01, 1.11111e-01, 8.02579e-02, 1.97649e-04, 1.97649e-04
9, 21, 6.65771e-01, 1.01006e+01, 1.15841e+00, 1.15841e+00, -7.20000e+01, 1.42857e-01, 1.01874e-01, 1.97649e-04, 1.97649e-04
10, 23, 7.29177e-01, 1.00941e+01, 1.26759e+00, 1.26759e+00, -7.20000e+01, 8.69565e-02, 1.02614e-01, 1.97649e-04, 1.97649e-04
11, 25, 7.92584e-01, 1.00785e+01, 1.21300e+00, 1.21300e+00, -7.20000e+01, 8.00000e-02, 9.35083e-02, 1.97649e-04, 1.97649e-04
12, 27, 8.55991e-01, 1.00651e+01, 1.26759e+00, 1.26759e+00, -7.20000e+01, 1.48148e-01, 1.08259e-01, 1.97649e-04, 1.97649e-04
