controller=local horizon=1 threshold=0.0
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s]
0, 1, 1.26626e-02, 1.01671e+01, 0.00000e+00, 0.00000e+00, -9.40000e+01, 1.00000e+00, 2.62472e-03
1, 5, 6.33132e-02, 1.01332e+01, 8.12834e-02, 8.12834e-02, -9.40000e+01, 8.00000e-01, 1.34483e-02
2, 9, 1.13964e-01, 1.01048e+01, 1.18855e-01, 1.18855e-01, -9.40000e+01, 4.44444e-01, 2.85075e-02
3, 14, 1.77277e-01, 1.00713e+01, 1.76914e-01, 1.76914e-01, -9.40000e+01, 3.57143e-01, 4.61628e-02
4, 18, 2.27928e-01, 1.00556e+01, 2.23362e-01, 2.23362e-01, -9.40000e+01, 2.22222e-01, 7.58535e-02
5, 21, 2.65915e-01, 1.00504e+01, 2.34974e-01, 2.34974e-01, -9.40000e+01, 1.42857e-01, 9.09532e-02
6, 26, 3.29229e-01, 1.00341e+01, 2.69810e-01, 2.69810e-01, -9.40000e+01, 1.92308e-01, 1.31895e-01
7, 31, 3.92542e-01, 1.00299e+01, 3.27869e-01, 3.27869e-01, -9.40000e+01, 1.61290e-01, 1.69542e-01
8, 34, 4.30530e-01, 1.00363e+01, 3.39481e-01, 3.39481e-01, -9.40000e+01, 8.82353e-02, 1.82083e-01
9, 38, 4.81180e-01, 1.00411e+01, 3.85929e-01, 3.85929e-01, -9.40000e+01, 1.05263e-01, 1.96572e-01
10, 41, 5.19168e-01, 1.00447e+01, 3.74317e-01, 3.74317e-01, -9.40000e+01, 7.31707e-02, 1.85152e-01
11, 46, 5.82481e-01, 1.00383e+01, 4.09153e-01, 4.09153e-01, -9.40000e+01, 1.08696e-01, 2.05825e-01
12, 52, 6.58457e-01, 1.00271e+01, 4.78824e-01, 4.78824e-01, -9.40000e+01, 1.15385e-01, 2.04921e-01
13, 56, 7.09108e-01, 1.00252e+01, 5.25272e-01, 5.25272e-01, -9.40000e+01, 7.14286e-02, 2.30545e-01
14, 61, 7.72421e-01, 1.00209e+01, 6.29779e-01, 6.29779e-01, -9.40000e+01, 8.19672e-02, 2.12469e-01
15, 65, 8.23072e-01, 1.00171e+01, 6.99451e-01, 6.99451e-01, -9.40000e+01, 6.15385e-02, 2.38888e-01
16, 70, 8.86385e-01, 1.00189e+01, 7.80734e-01, 7.80734e-01, -9.40000e+01, 7.14286e-02, 2.69531e-01
17, 74, 9.37035e-01, 1.00093e+01, 8.03958e-01, 8.03958e-01, -9.40000e+01, 5.40541e-02, 2.50985e-01
18, 79, 1.00035e+00, 9.99643e+00, 9.08465e-01, 9.08465e-01, -9.40000e+01, 6.32911e-02, 2.89767e-01
