controller=pattern horizon=1 threshold=0.1
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s], calc time, effective time
0, 1, 3.17034e-02, 1.02139e+01, 0.00000e+00, 0.00000e+00, -7.20000e+01, 1.00000e+00, 2.62472e-03, 2.37465e-04, 2.37465e-04
1, 3, 9.51101e-02, 1.01909e+01, 1.63770e-01, 1.63770e-01, -7.20000e+01, 6.66667e-01, 8.72039e-03, 2.37465e-04, 2.37465e-04
2, 5, 1.58517e-01, 1.01717e+01, 2.72950e-01, 2.72950e-01, -7.20000e+01, 4.00000e-01, 1.70356e-02, 2.37465e-04, 2.37465e-04
3, 7, 2.21924e-01, 1.01562e+01, 2.72950e-01, 2.72950e-01, -7.20000e+01, 2.85714e-01, 2.72941e-02, 2.37465e-04, 2.37465e-04
4, 9, 2.85330e-01, 1.01441e+01, 3.39562e-01, 3.39562e-01, -7.20000e+01, 2.22222e-01, 3.69833e-02, 2.37465e-04, 2.37465e-04
5, 12, 3.80440e-01, 1.01210e+01, 5.03332e-01, 5.03332e-01, -7.20000e+01, 2.50000e-01, 5.08167e-02, 2.37465e-04, 2.37465e-04
6, 14, 4.43847e-01, 1.01253e+01, 6.12512e-01, 6.12512e-01, -7.20000e+01, 1.42857e-01, 6.80619e-02, 2.37465e-04, 2.37465e-04
7, 16, 5.07254e-01, 1.01229e+01, 7.21692e-01, 7.21692e-01, -7.20000e+01, 1.25000e-01, 8.61937e-02, 2.37465e-04, 2.37465e-04
8, 18, 5.70660e-01, 1.01171e+01, 8.30872e-01, 8.30872e-01, -7.20000e+01, 1.11111e-01, 8.02579e-02, 2.37465e-04, 2.37465e-04
9, 21, 6.65771e-01, 1.01006e+01, 1.15841e+00, 1.15841e+00, -7.20000e+01, 1.42857e-01, 1.01874e-01, 2.37465e-04, 2.37465e-04
10, 23, 7.29177e-01, 1.00941e+01, 1.26759e+00, 1.26759e+00, -7.20000e+01, 8.69565e-02, 1.02614e-01, 2.37465e-04, 2.37465e-04
11, 25, 7.92584e-01, 1.00785e+01, 1.21300e+00, 1.21300e+00, -7.20000e+01, 8.00000e-02, 9.35083e-02, 2.37465e-04, 2.37465e-04
12, 27, 8.55991e-01, 1.00651e+01, 1.26759e+00, 1.26759e+00, -7.20000e+01, 1.48148e-01, 1.08259e-01, 2.37465e-04, 2.37465e-04
13, 29, 9.19397e-01, 1.00614e+01, 1.32218e+00, 1.32218e+00, -7.20000e+01, 1.37931e-01, 8.63660e-02, 2.37465e-04, 2.37465e-04
14, 32, 1.01451e+00, 1.00355e+01, 1.86808e+00, 1.86808e+00, -7.20000e+01, 1.56250e-01, 1.21110e-01, 2.37465e-04, 2.37465e-04
15, 33, 1.04621e+00, 1.00440e+01, 1.97726e+00, 1.97726e+00, -7.20000e+01, 1.21212e-01, 1.24465e-01, 2.37465e-04, 2.37465e-04
16, 35, 1.10962e+00, 1.00327e+01, 2.08644e+00, 2.08644e+00, -7.20000e+01, 1.71429e-01, 1.30063e-01, 2.37465e-04, 2.37465e-04
17, 37, 1.17302e+00, 1.00361e+01, 2.41398e+00, 2.41398e+00, -7.20000e+01, 1.62162e-01, 1.23700e-01, 2.37465e-04, 2.37465e-04
18, 40, 1.26813e+00, 1.00115e+01, 2.46857e+00, 2.46857e+00, -7.20000e+01, 2.25000e-01, 1.42367e-01, 2.37465e-04, 2.37465e-04
19, 41, 1.29984e+00, 9.99585e+00, 2.14103e+00, 2.14103e+00, -7.20000e+01, 1.95122e-01, 1.19434e-01, 2.37465e-04, 2.37465e-04
20, 44, 1.39495e+00, 9.96952e+00, 2.19562e+00, 2.19562e+00, -7.20000e+01, 2.27273e-01, 1.23104e-01, 2.37465e-04, 2.37465e-04
21, 46, 1.45835e+00, 9.93861e+00, 2.41398e+00, 2.41398e+00, -7.20000e+01, 2.17391e-01, 1.28636e-01, 2.37465e-04, 2.37465e-04
22, 48, 1.52176e+00, 9.92681e+00, 2.62032e+00, 2.62032e+00, -7.20000e+01, 2.91667e-01, 1.37305e-01, 2.37465e-04, 2.37465e-04
23, 50, 1.58517e+00, 9.90771e+00, 3.00245e+00, 3.00245e+00, -7.20000e+01, 2.80000e-01, 1.15865e-01, 2.37465e-04, 2.37465e-04
24, 53, 1.68028e+00, 9.88283e+00, 3.27540e+00, 3.27540e+00, -7.20000e+01, 3.20755e-01, 1.59987e-01, 2.37465e-04, 2.37465e-04
25, 55, 1.74368e+00, 9.86723e+00, 3.49375e+00, 3.49375e+00, -7.20000e+01, 3.27273e-01, 1.39837e-01, 2.37465e-04, 2.37465e-04
