controller=random horizon=1 threshold=0.1
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s]
0, 1, 5.80690e-02, 1.02473e+01, 0.00000e+00, 0.00000e+00, -7.00000e+00, 1.00000e+00, 2.62472e-03
1, 3, 1.74207e-01, 1.01628e+01, 5.80596e-02, 5.80596e-02, -7.00000e+00, 6.66667e-01, 9.15520e-03
2, 5, 2.90345e-01, 1.00901e+01, 8.12834e-02, 8.12834e-02, -7.00000e+00, 4.00000e-01, 1.68109e-02
3, 8, 4.64552e-01, 9.98382e+00, 1.16119e-01, 1.16119e-01, -7.00000e+00, 3.75000e-01, 2.92974e-02
4, 9, 5.22621e-01, 9.99277e+00, 1.27731e-01, 1.27731e-01, -7.00000e+00, 1.11111e-01, 3.99271e-02
5, 12, 6.96829e-01, 9.94257e+00, 1.62567e-01, 1.62567e-01, -7.00000e+00, 2.50000e-01, 5.19834e-02
6, 14, 8.12967e-01, 9.92500e+00, 2.43850e-01, 2.43850e-01, -7.00000e+00, 1.42857e-01, 7.38961e-02
7, 17, 9.87174e-01, 9.94280e+00, 3.59970e-01, 3.59970e-01, -7.00000e+00, 1.76471e-01, 8.67006e-02
8, 20, 1.16138e+00, 9.88812e+00, 2.93033e-01, 2.93033e-01, -7.00000e+00, 1.50000e-01, 1.09814e-01
9, 22, 1.27752e+00, 9.87771e+00, 3.07291e-01, 3.07291e-01, -7.00000e+00, 9.09091e-02, 9.84076e-02
10, 24, 1.39366e+00, 9.88041e+00, 4.00187e-01, 4.00187e-01, -7.00000e+00, 8.33333e-02, 1.15034e-01
11, 27, 1.56786e+00, 9.83075e+00, 3.65351e-01, 3.65351e-01, -7.00000e+00, 1.11111e-01, 1.13586e-01
12, 28, 1.62593e+00, 9.92365e+00, 3.73289e-01, 3.73289e-01, -7.00000e+00, 3.57143e-02, 1.28617e-01
13, 30, 1.74207e+00, 9.98547e+00, 4.66185e-01, 4.66185e-01, -7.00000e+00, 6.66667e-02, 1.15277e-01
14, 33, 1.91628e+00, 9.92644e+00, 5.01021e-01, 5.01021e-01, -7.00000e+00, 9.09091e-02, 1.34176e-01
15, 35, 2.03242e+00, 9.94570e+00, 4.79415e-01, 4.79415e-01, -7.00000e+00, 5.71429e-02, 1.23755e-01
16, 37, 2.14855e+00, 9.97643e+00, 5.83923e-01, 5.83923e-01, -7.00000e+00, 5.40541e-02, 1.18579e-01
17, 40, 2.32276e+00, 9.97364e+00, 5.60699e-01, 5.60699e-01, -7.00000e+00, 7.50000e-02, 1.27932e-01
18, 40, 2.32276e+00, 9.99919e+00, 6.54274e-01, 6.54274e-01, -7.00000e+00, 2.50000e-02, 1.48281e-01
19, 44, 2.55504e+00, 9.91590e+00, 6.54274e-01, 6.54274e-01, -7.00000e+00, 9.09091e-02, 1.34585e-01
20, 46, 2.67118e+00, 9.94588e+00, 6.77498e-01, 6.77498e-01, -7.00000e+00, 4.34783e-02, 1.48996e-01
21, 49, 2.84538e+00, 9.84364e+00, 9.79408e-01, 9.79408e-01, -7.00000e+00, 6.12245e-02, 1.61033e-01
22, 52, 3.01959e+00, 9.75078e+00, 9.79408e-01, 9.79408e-01, -7.00000e+00, 5.76923e-02, 1.64642e-01
