controller=global horizon=1 threshold=0.1
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s]
0, 1, 5.42259e-03, 1.01150e+01, 0.00000e+00, 0.00000e+00, 8.00000e+00, 1.00000e+00, 2.62472e-03
1, 7, 3.79581e-02, 1.01037e+01, 3.82129e-01, 3.82129e-01, 8.00000e+00, 8.57143e-01, 1.91810e-02
2, 13, 7.04937e-02, 1.00939e+01, 7.09669e-01, 7.09669e-01, 8.00000e+00, 4.61538e-01, 4.03666e-02
3, 18, 9.76066e-02, 1.00877e+01, 9.82619e-01, 9.82619e-01, 8.00000e+00, 2.77778e-01, 6.29338e-02
4, 24, 1.30142e-01, 1.00809e+01, 1.31016e+00, 1.31016e+00, 8.00000e+00, 2.50000e-01, 9.31873e-02
5, 30, 1.62678e-01, 1.00760e+01, 1.63770e+00, 1.63770e+00, 8.00000e+00, 2.00000e-01, 1.32740e-01
6, 36, 1.95213e-01, 1.00739e+01, 2.07442e+00, 2.07442e+00, 8.00000e+00, 1.66667e-01, 1.71202e-01
7, 41, 2.22326e-01, 1.00750e+01, 2.45655e+00, 2.45655e+00, 8.00000e+00, 1.21951e-01, 2.15343e-01
8, 47, 2.54862e-01, 1.00734e+01, 2.78409e+00, 2.78409e+00, 8.00000e+00, 1.27660e-01, 2.52719e-01
9, 54, 2.92820e-01, 1.00711e+01, 3.16622e+00, 3.16622e+00, 8.00000e+00, 1.29630e-01, 2.81240e-01
10, 61, 3.30778e-01, 1.00667e+01, 3.76670e+00, 3.76670e+00, 8.00000e+00, 1.14754e-01, 2.68650e-01
11, 67, 3.63314e-01, 1.00604e+01, 3.82129e+00, 3.82129e+00, 8.00000e+00, 8.95522e-02, 2.65579e-01
12, 72, 3.90427e-01, 1.00561e+01, 3.76670e+00, 3.76670e+00, 8.00000e+00, 8.33333e-02, 3.08175e-01
13, 78, 4.22962e-01, 1.00484e+01, 4.14883e+00, 4.14883e+00, 8.00000e+00, 1.15385e-01, 2.68346e-01
