,3way_1,3way_10,3way_14,3way_15,3way_19,3way_2,3way_21,3way_22,3way_23,3way_3,3way_5,3way_9,4way_11,4way_12,4way_13,4way_16,4way_17,4way_18,4way_6,4way_7,4way_8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
60,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0
120,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1
180,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0
240,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1
300,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0
360,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1
420,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0
480,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1
540,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1
600,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0
660,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1
720,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0
780,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1
840,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0
900,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1
960,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0
1020,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
1080,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0
1140,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
1200,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0
1260,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
1320,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0
1380,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
1440,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0
1500,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1
1560,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,0
1620,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1
1680,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0
1740,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,1,1,1
1800,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0
1860,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0
1920,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1
1980,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0
2040,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1
2100,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0
2160,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1
2220,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1
2280,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,0
2340,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1
2400,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,1,0
2460,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
2520,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0
2580,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1
2640,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
2700,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,1
2760,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0
2820,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1
2880,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0
2940,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1
3000,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0
3060,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1
3120,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0
3180,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1
3240,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0
3300,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1
3360,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0
3420,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1
3480,0,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0
3540,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1
