controller=pattern horizon=1 threshold=0.1
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s], calc time, effective time
0, 1, 3.17034e-02, 1.02139e+01, 0.00000e+00, 0.00000e+00, -7.20000e+01, 1.00000e+00, 2.62472e-03, 2.05040e-04, 2.05040e-04
1, 3, 9.51101e-02, 1.01906e+01, 1.63770e-01, 1.63770e-01, -7.20000e+01, 6.66667e-01, 8.39284e-03, 2.05040e-04, 2.05040e-04
2, 6, 1.90220e-01, 1.01592e+01, 2.18360e-01, 2.18360e-01, -7.20000e+01, 5.00000e-01, 1.96465e-02, 2.05040e-04, 2.05040e-04
3, 9, 2.85330e-01, 1.01336e+01, 2.30383e-01, 2.30383e-01, -7.20000e+01, 3.33333e-01, 3.33203e-02, 2.05040e-04, 2.05040e-04
4, 11, 3.48737e-01, 1.01238e+01, 3.39562e-01, 3.39562e-01, -7.20000e+01, 1.81818e-01, 4.38667e-02, 2.05040e-04, 2.05040e-04
5, 14, 4.43847e-01, 1.01142e+01, 5.03332e-01, 5.03332e-01, -7.20000e+01, 2.14286e-01, 6.39459e-02, 2.05040e-04, 2.05040e-04
6, 17, 5.38957e-01, 1.00980e+01, 6.67102e-01, 6.67102e-01, -7.20000e+01, 1.76471e-01, 7.91731e-02, 2.05040e-04, 2.05040e-04
7, 19, 6.02364e-01, 1.01020e+01, 7.76282e-01, 7.76282e-01, -7.20000e+01, 1.05263e-01, 1.01735e-01, 2.05040e-04, 2.05040e-04
8, 22, 6.97474e-01, 1.00936e+01, 1.10382e+00, 1.10382e+00, -7.20000e+01, 1.36364e-01, 1.19398e-01, 2.05040e-04, 2.05040e-04
9, 25, 7.92584e-01, 1.00851e+01, 1.21300e+00, 1.21300e+00, -7.20000e+01, 1.20000e-01, 1.21117e-01, 2.05040e-04, 2.05040e-04
10, 28, 8.87694e-01, 1.00689e+01, 1.26759e+00, 1.26759e+00, -7.20000e+01, 1.07143e-01, 1.06259e-01, 2.05040e-04, 2.05040e-04
11, 30, 9.51101e-01, 1.00742e+01, 1.43136e+00, 1.43136e+00, -7.20000e+01, 6.66667e-02, 1.18290e-01, 2.05040e-04, 2.05040e-04
12, 32, 1.01451e+00, 1.00716e+01, 1.70431e+00, 1.70431e+00, -7.20000e+01, 6.25000e-02, 1.33883e-01, 2.05040e-04, 2.05040e-04
