controller=global horizon=1 threshold=0.1
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s], calc time, effective time
0, 1, 1.26626e-02, 1.01671e+01, 0.00000e+00, 0.00000e+00, 1.00000e+01, 1.00000e+00, 2.62472e-03, 3.12324e-02, 3.12324e-02
1, 5, 6.33132e-02, 1.01332e+01, 8.12834e-02, 8.12834e-02, 1.00000e+01, 8.00000e-01, 1.34483e-02, 3.12324e-02, 3.12324e-02
2, 9, 1.13964e-01, 1.01048e+01, 1.18855e-01, 1.18855e-01, 1.00000e+01, 4.44444e-01, 2.85075e-02, 3.12324e-02, 3.12324e-02
3, 14, 1.77277e-01, 1.00719e+01, 2.11750e-01, 2.11750e-01, 1.00000e+01, 3.57143e-01, 4.72104e-02, 3.12324e-02, 3.12324e-02
4, 18, 2.27928e-01, 1.00553e+01, 2.34974e-01, 2.34974e-01, 1.00000e+01, 2.22222e-01, 7.39891e-02, 3.12324e-02, 3.12324e-02
5, 21, 2.65915e-01, 1.00516e+01, 2.46586e-01, 2.46586e-01, 1.00000e+01, 1.42857e-01, 9.51849e-02, 3.12324e-02, 3.12324e-02
6, 26, 3.29229e-01, 1.00343e+01, 3.30515e-01, 3.30515e-01, 1.00000e+01, 1.92308e-01, 1.31955e-01, 3.12324e-02, 3.12324e-02
7, 31, 3.92542e-01, 1.00292e+01, 3.88575e-01, 3.88575e-01, 1.00000e+01, 1.61290e-01, 1.63920e-01, 3.12324e-02, 3.12324e-02
8, 33, 4.17867e-01, 1.00477e+01, 4.11799e-01, 4.11799e-01, 1.00000e+01, 6.06061e-02, 1.93399e-01, 3.12324e-02, 3.12324e-02
9, 38, 4.81180e-01, 1.00420e+01, 4.93082e-01, 4.93082e-01, 1.00000e+01, 1.31579e-01, 1.86768e-01, 3.12324e-02, 3.12324e-02
10, 41, 5.19168e-01, 1.00476e+01, 5.04694e-01, 5.04694e-01, 1.00000e+01, 7.31707e-02, 1.98666e-01, 3.12324e-02, 3.12324e-02
11, 45, 5.69819e-01, 1.00416e+01, 5.27918e-01, 5.27918e-01, 1.00000e+01, 8.88889e-02, 1.92566e-01, 3.12324e-02, 3.12324e-02
12, 51, 6.45795e-01, 1.00353e+01, 7.02097e-01, 7.02097e-01, 1.00000e+01, 1.17647e-01, 1.94662e-01, 3.12324e-02, 3.12324e-02
13, 56, 7.09108e-01, 1.00256e+01, 7.60156e-01, 7.60156e-01, 1.00000e+01, 8.92857e-02, 2.02585e-01, 3.12324e-02, 3.12324e-02
14, 60, 7.59758e-01, 1.00309e+01, 8.53052e-01, 8.53052e-01, 1.00000e+01, 6.66667e-02, 2.22146e-01, 3.12324e-02, 3.12324e-02
15, 66, 8.35734e-01, 1.00133e+01, 9.22723e-01, 9.22723e-01, 1.00000e+01, 9.09091e-02, 2.26472e-01, 3.12324e-02, 3.12324e-02
16, 69, 8.73722e-01, 1.00229e+01, 9.34335e-01, 9.34335e-01, 1.00000e+01, 4.34783e-02, 2.83537e-01, 3.12324e-02, 3.12324e-02
17, 73, 9.24373e-01, 1.00206e+01, 9.80783e-01, 9.80783e-01, 1.00000e+01, 5.47945e-02, 2.65951e-01, 3.12324e-02, 3.12324e-02
18, 79, 1.00035e+00, 1.00016e+01, 1.15496e+00, 1.15496e+00, 1.00000e+01, 7.59494e-02, 2.52630e-01, 3.12324e-02, 3.12324e-02
19, 83, 1.05100e+00, 9.99653e+00, 1.18980e+00, 1.18980e+00, 1.00000e+01, 4.81928e-02, 3.08166e-01, 3.12324e-02, 3.12324e-02
