controller=local horizon=1 threshold=0.0
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s]
0, 1, 1.26626e-02, 1.01671e+01, 0.00000e+00, 0.00000e+00, -9.40000e+01, 1.00000e+00, 2.62472e-03
1, 5, 6.33132e-02, 1.01332e+01, 8.12834e-02, 8.12834e-02, -9.40000e+01, 8.00000e-01, 1.34483e-02
2, 9, 1.13964e-01, 1.01048e+01, 1.18855e-01, 1.18855e-01, -9.40000e+01, 4.44444e-01, 2.85075e-02
3, 14, 1.77277e-01, 1.00713e+01, 2.11750e-01, 2.11750e-01, -9.40000e+01, 3.57143e-01, 4.61995e-02
4, 18, 2.27928e-01, 1.00548e+01, 2.58198e-01, 2.58198e-01, -9.40000e+01, 2.22222e-01, 7.39137e-02
5, 21, 2.65915e-01, 1.00507e+01, 2.69810e-01, 2.69810e-01, -9.40000e+01, 1.42857e-01, 9.34320e-02
6, 26, 3.29229e-01, 1.00331e+01, 2.95680e-01, 2.95680e-01, -9.40000e+01, 1.92308e-01, 1.29961e-01
7, 31, 3.92542e-01, 1.00280e+01, 3.53739e-01, 3.53739e-01, -9.40000e+01, 1.61290e-01, 1.64598e-01
8, 34, 4.30530e-01, 1.00369e+01, 3.88575e-01, 3.88575e-01, -9.40000e+01, 8.82353e-02, 1.92104e-01
9, 39, 4.93843e-01, 1.00330e+01, 5.27918e-01, 5.27918e-01, -9.40000e+01, 1.28205e-01, 1.94031e-01
10, 42, 5.31831e-01, 1.00392e+01, 5.62754e-01, 5.62754e-01, -9.40000e+01, 7.14286e-02, 1.97110e-01
11, 46, 5.82481e-01, 1.00369e+01, 6.09201e-01, 6.09201e-01, -9.40000e+01, 8.69565e-02, 2.03697e-01
12, 52, 6.58457e-01, 1.00291e+01, 7.48544e-01, 7.48544e-01, -9.40000e+01, 1.15385e-01, 2.12724e-01
13, 57, 7.21770e-01, 1.00198e+01, 8.29828e-01, 8.29828e-01, -9.40000e+01, 8.77193e-02, 2.01825e-01
14, 61, 7.72421e-01, 1.00195e+01, 9.22723e-01, 9.22723e-01, -9.40000e+01, 6.55738e-02, 2.33002e-01
15, 66, 8.35734e-01, 1.00070e+01, 9.80783e-01, 9.80783e-01, -9.40000e+01, 7.57576e-02, 2.45629e-01
16, 70, 8.86385e-01, 1.00125e+01, 1.07368e+00, 1.07368e+00, -9.40000e+01, 5.71429e-02, 2.76957e-01
17, 74, 9.37035e-01, 1.00042e+01, 1.05045e+00, 1.05045e+00, -9.40000e+01, 5.40541e-02, 2.71189e-01
18, 79, 1.00035e+00, 9.99251e+00, 1.18980e+00, 1.18980e+00, -9.40000e+01, 6.32911e-02, 2.61107e-01
